,ID,concept:name,Status
36,36,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'Task', 'helicopter  arrives at  hospital']",Normal
37,37,"['ems  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'Task', 'helicopter  arrives at  hospital', 'ed  assessment', 'ed  assessment', 'helicopter  arrives at  hospital']",Anomalous
38,38,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'Task', 'call', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter departs scene', 'helicopter  arrives at  hospital']",Anomalous
39,39,"['helicopter  arrives at  hospital', 'Task', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ed  assessment']",Anomalous
40,40,"['Task', 'helicopter  arrives at  hospital', 'helicopter  departs  base', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
41,41,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital']",Normal
42,42,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital']",Normal
43,43,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ed  assessment']",Normal
44,44,"['helicopter  arrives at  hospital', 'Task', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
45,45,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter departs scene', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ems  assessment', 'helicopter  arrives at  hospital']",Anomalous
46,46,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'Task', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
47,47,"['helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'ed  assessment']",Anomalous
48,48,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'ed  assessment']",Normal
49,49,"['helicopter  arrives at  hospital', 'Task', 'road  ambulance  arrives  hospital', 'ed  assessment', 'helicopter  arrives at  hospital']",Anomalous
50,50,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'ed  assessment', 'ed  assessment', 'helicopter  arrives at  hospital']",Anomalous
51,51,"['road  ambulance  arrives  hospital', 'helicopter  departs  base', 'helicopter  arrives at  hospital', 'call', 'helicopter  arrives at  hospital', 'ed  assessment', 'road  ambulance  arrives  hospital']",Anomalous
52,52,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
53,53,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital']",Normal
54,54,"['road  ambulance  arrives  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
55,55,"['road  ambulance  arrives  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
56,56,"['road  ambulance  arrives  hospital', 'helicopter departs scene', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
57,57,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  departs  base', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'Task']",Anomalous
58,58,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'Task', 'helicopter  arrives  scene', 'helicopter  arrives at  hospital']",Anomalous
59,59,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'Task', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
60,60,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'Task', 'helicopter  arrives at  hospital', 'call', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital']",Anomalous
61,61,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'ed  assessment', 'Task', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
62,62,"['helicopter  arrives at  hospital', 'Task', 'call', 'helicopter  arrives at  hospital', 'ems  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
63,63,"['ems  assessment', 'Task', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
64,64,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital']",Normal
65,65,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital']",Normal
66,66,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
67,67,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'call', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
68,68,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
69,69,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
70,70,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'call', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  departs  base', 'helicopter  arrives at  hospital']",Anomalous
71,71,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'Task', 'Task', 'helicopter  departs  base', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'ed  assessment']",Anomalous
72,72,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'ed  assessment']",Normal
73,73,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
74,74,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  departs  base', 'ed  assessment', 'helicopter  arrives at  hospital']",Anomalous
75,75,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter departs scene', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'ems  assessment']",Anomalous
76,76,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  departs  base', 'ems  assessment', 'ed  assessment', 'helicopter  arrives at  hospital', 'ems  assessment']",Anomalous
77,77,"['helicopter  arrives  scene', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital']",Anomalous
78,78,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
79,79,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter departs scene', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
80,80,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
81,81,"['road  ambulance  arrives  hospital', 'helicopter departs scene', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ed  assessment']",Anomalous
82,82,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital']",Normal
83,83,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'Task', 'ed  assessment', 'helicopter  arrives at  hospital']",Anomalous
84,84,"['ed  assessment', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
85,85,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
86,86,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
87,87,"['road  ambulance  arrives  hospital', 'ems  assessment', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ems  assessment', 'helicopter  arrives at  hospital']",Anomalous
88,88,"['road  ambulance  arrives  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
89,89,"['road  ambulance  arrives  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
90,90,"['road  ambulance  arrives  hospital', 'ed  assessment', 'Task', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ed  assessment']",Anomalous
91,91,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'Task']",Anomalous
92,92,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'call', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'Task', 'helicopter  arrives at  hospital']",Anomalous
93,93,"['helicopter  arrives at  hospital', 'Task', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ems  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'Task', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
94,94,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'Task', 'ems  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ems  assessment', 'helicopter  arrives at  hospital']",Anomalous
95,95,"['helicopter  arrives at  hospital', 'Task', 'call', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'Task', 'Task', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'Task']",Anomalous
96,96,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'Task', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
97,97,"['helicopter  arrives at  hospital', 'Task', 'ems  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
98,98,"['Task', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  departs  base', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
99,99,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ems  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital']",Anomalous
100,100,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital']",Anomalous
101,101,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
102,102,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
103,103,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
104,104,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
105,105,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
106,106,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
107,107,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'ed  assessment']",Normal
108,108,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'ed  assessment']",Normal
109,109,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives  scene', 'road  ambulance  arrives  hospital', 'ed  assessment', 'helicopter  arrives at  hospital']",Anomalous
110,110,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'ed  assessment', 'helicopter  arrives at  hospital']",Anomalous
111,111,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ed  assessment']",Normal
112,112,"['helicopter  arrives at  hospital', 'ems  assessment', 'ems  assessment', 'helicopter  departs  base', 'helicopter  arrives  scene', 'helicopter  arrives at  hospital', 'helicopter  arrives  scene', 'Task', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital']",Anomalous
113,113,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital']",Normal
114,114,"['helicopter departs scene', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
115,115,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
116,116,"['helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
117,117,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter departs scene', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ed  assessment']",Anomalous
118,118,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'ed  assessment', 'Task', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'Task']",Anomalous
119,119,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital']",Normal
120,120,"['helicopter  arrives at  hospital', 'ed  assessment', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
121,121,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
122,122,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
123,123,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'ems  assessment', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'helicopter  departs  base', 'helicopter  arrives at  hospital']",Anomalous
124,124,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
125,125,"['helicopter  arrives at  hospital', 'road  ambulance  arrives  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
126,126,"['helicopter  arrives at  hospital', 'call', 'road  ambulance  arrives  hospital', 'ed  assessment', 'call', 'helicopter  arrives at  hospital', 'helicopter departs scene', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
127,127,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives  scene', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ed  assessment']",Anomalous
128,128,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  departs  base', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital']",Anomalous
129,129,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'call', 'helicopter  arrives at  hospital', 'Task', 'helicopter  arrives at  hospital']",Anomalous
130,130,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
131,131,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ed  assessment']",Anomalous
132,132,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
133,133,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
134,134,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
135,135,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
136,136,"['road  ambulance  arrives  hospital', 'helicopter  arrives at  hospital', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Normal
137,137,"['road  ambulance  arrives  hospital', 'helicopter  arrives  scene', 'ed  assessment', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital', 'helicopter  arrives at  hospital']",Anomalous
